# https://www.nature.com/articles/134771a0
# https://en.wikipedia.org/wiki/Speed_of_light#Measurement
# [1] https://archive.org/details/velocityoflightr0000froo/page/10/mode/
# [2] https://www.nature.com/articles/134771a0
# [3] https://micro.magnet.fsu.edu/primer/lightandcolor/speedoflight.html
# [4] https://doi.org/10.1103/PhysRevLett.29.1346
# [5] https://www.nature.com/articles/251046a0
# [6] https://shs.cairn.info/journal-l-annee-sociologique-2013-2-page-359?lang=en
year,author,value,uncertainty,ref
1957,Bergstrand,299792.85,0.16, [6]
1957,Wadley,299792.6,1.2, [1]
1958,Froome,299792.5,0.1, [1;6]
1958,Fichera+Melchior,299530,, [6]
1959,Markowitz,299720,, [6]
1959,Guinot,299530,120, [6]
1960,Lagruela,300460,, [6]
1961,Guinot,299570,90, [6]
1962,Fleckenstein,299640,, [6]
# 1964,UAI,299792.5,, [6]
1965,Kolibaiev,299792.6,0.6, [6]
1966,Karolus,299792.1,0.2, [1]
1967,Grosse,299792.5,0.5, [6]
1967,Karolus,299792.44,0.2, [1]
1967,Simkin+Lukin+Sikora+Strelenskii,299792.56,0.11, [1]
1973,Evenson,299792.4562,0.0011, [4;6]
1974,Blaney,299792.4590,0.0006, [6]
1978,Woods,299792.4590,0.0008, [5]
