# $K^0_L$ $\Gamma_2/\Gamma_1$
#
# RPP 2024 "ground truth" value: 0.6669
# 1sigma: 0.0027
# PDG ID: S013R10
# RPP aug. 1970 pg: 30
# PDG USES CONSTRAINED FIT
year,author,value,uncertainty
1964,ADAIR,0.81,0.19
1967,DEBOUARD,0.82,0.10
1967,HAWKINS,0.7,0.2
1967,HOPKINS,0.81,0.08
# 1968,BASILEI,0.625,0.04
1968,BUDAGOV,0.71,0.05
# 1969,BEILLIERE,0.71,0.04
1969,EVANS,0.648,0.030
