# $\mu$ decay param. $\xi$
#
# RPP 2024 "ground truth" value: 1.0009
# 1sigma: 0.0012
# PDG ID: S004XI
# RPP aug. 1970 pg: 22
year,author,value,uncertainty
1959,BARDON,0.97,0.05
1960,PLANO,0.93,0.06
# 1961,ALI-ZADE,0.903,0.027
# 1964,GUREVICH,0.975,0.030
1967,GUREVICH,0.975,0.014
