# $f_1(1420)$ mass
# $\mathrm{[MeV]}$
# RPP 2024 "ground truth" value: 1428.4
# 1sigma: 1.4
# PDG ID: M006M
# RPP aug. 1970 pg. 65
# note it was called E(1422) in RPP 1970
year,author,value,uncertainty
1967,BAILLON,1425,7
# 1967,DAHL,1420.0,20.0
1967,FRENCH,1423,10
1969,LORSTAD,1420,7
