# $\eta(958)$ $0.2805\Gamma_1/\Gamma
#
# RPP 2024 "ground truth" value: 0.1191
# 1sigma: 0.0015
# PDG ID: M002R3
# RPP aug. 1970 pg. 47
# RPP 2025 USES CONSTRAINED FIT
year,author,value,uncertainty
# 1964,KALBFLEIS,0.12,0.02
1965,BADIER,0.07,0.04
1966,LONDON,0.1,0.04
1969,RITTENBERG,0.123,0.014
