# $K_2(1770)$ width
# $\mathrm{[MeV]}$
# RPP 2024 "ground truth" value: 186
# 1sigma: 14
# PDG ID: M023M
# RPP aug. 1970 pg. 82
year,author,value,uncertainty
1967,JOBES,60.0,20.0
1968,BARTSCH,127.0,43.0
1970,AGUILAR,100.0,50.0
