# $\mu$ decay param. $\delta$
#
# RPP 2024 "ground truth" value: 0.75047
# 1sigma: 0.00034
# PDG ID: S004DEL
# RPP aug. 1970 pg: 22
year,author,value,uncertainty
1960,PLANO,0.78,0.05
1961,KRUGER,0.782,0.031
1968,FRYBERGER,0.752,0.009
