# $\eta$ $\Gamma_{10}/\Gamma_9$
#
# RPP 2024 "ground truth" value: 0.1858
# 1sigma: 0.0025
# PDG ID: S014R4
# RPP aug. 1970 pg: 34
# PDG USES CONSTRAINED FIT
year,author,value,uncertainty
1964,FOELSCHE,0.14,0.08
1964,PAULI,0.73,0.25
1966,CRAWFORD,0.30,0.06
1964,KRAEMER,0.10,0.10
1965,FOSTER,0.156,0.041
1967,LITCHFIEL,0.25,0.035
1967,BALTAY,0.28,0.04
1970,GORMLEY,0.201,0.006
